,,,,,,,,,,,,,,,,RE Task & Application Domain,,,,,,,,GenAI Model & Configuration,,,LLM Application Strategy & Prompt Engineering,,,,,Outputs & Resources,,,,Evaluation,,,Study Quality,,,,,Challenges & Future Directions,,,,,,,,,,,
80,Zero-shot Bilingual App Reviews Mining with Large Language Models,,2023,Scopus,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85182397320&doi=10.1109%2fICTAI59109.2023.00135&partnerID=40&md5=84f680d30041e89f4f3660fc7c06165a,,,,,,,,,YES,F,1,1,,,,Health & Fitness mobile apps (bilingual app review mining),"Zero-shot requirements elicitation, Cross-lingual clustering, Abstractive summarization",GPT-3.5-turbo,NO,-,Standalone,zero-shot,ZS,instruction-based,YES,Mini-BAR,yes,"Mini-BAR annotated bilingual app review dataset (12,000 reviews)",yes,"precision, recall, F1-score, Normalized Mutual Information (NMI), Adjusted Rand Index (ARI), human evaluation (Likert scale: relevance, consistency, fluency, coherence)","controlled experiment, human evaluation","Functional Suitability,Performance Efficiency,Flexibility",1,1,1,0.5,3.5,bias,No,No,YES,Computational cost,No,No,Reproducibility,No,No,concept/prototype,Limited to Health & Fitness domain; subjectivity in annotation; ChatGPT access/cost; small clustering evaluation dataset
81,A Self-Iteration Code Generation Method Based on Large Language Models,,2023,Scopus,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85190276702&doi=10.1109%2fICPADS60453.2023.00049&partnerID=40&md5=05fb124e1cf798bb56fc8a3395744d5b,,,,,,,,,YES->NO,F,1,1,,,,,The task focuses on iterative refinement of requirements and code in software development cycles.,GPT-3.5,NO,-,,,FS,instruction-based,YES,,,,,,,"Functional Suitability, Maintainability, Flexibility",1,1,1,0.5,3.5,Bias,No,No,YES,Computational cost,No,Hallucinations,Reproducibility,Controllability,No,,
82,Human-Centric Autonomous Systems With LLMs for User Command Reasoning,,2024,Scopus,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85188691382&doi=10.1109%2fWACVW60836.2024.00108&partnerID=40&md5=df07239d5bb722f133c2fbde45f1dc34,,,,,,,,,YES,F,1,1,,,,autonomous driving (in-cabin user command understanding),Classification of user commands into system requirements. Reasoning about user intent and safety for autonomous driving scenarios.,"GPT-4, GPT-3.5-turbo, CodeLlama-34b-Instruct, and Llama-2-70b-Chat.",NO,-,Standalone,"few-shot, chain-of-thought",FS,instruction-based,YES,no,no,UCU Dataset,yes,accuracy,controlled experiment (benchmark evaluation),"Functional Suitability, Interaction Capability, Safety",1,1,1,0.5,3.5,Bias,YES,YES,YES,Computational cost,Real-Time Processing,No,Reproducibility,Controllability,No,concept/prototype,Ambiguity in ground truth for in-cabin monitoring; prompt design sensitivity
83,Efficient Extraction of Technical Requirements Applying Data Augmentation,,2022,Scopus,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85146926373&doi=10.1109%2fISSE54508.2022.10005452&partnerID=40&md5=1640610e2c705d8af3b55ebcfc416fdf,,,,,,,,,YES,F,1,,1,,,"Automotive engineering (EDAG case studies), with additional data from software engineering specifications",Classifier training automation,GPT-J,No,-,Standalone,"Data augmentation for training classifiers; no advanced LLM-specific techniques (e.g., chain-of-thought) described",FS,"instruction-based, descriptive, and iterative prompts",,no,no,"EDAG requirements (proprietary), open-source software requirements (see references)",no,"Precision, Recall, F1-score","Controlled experiment (cross-validation, transferability tests on real and augmented data)",Functional Suitability， Maintainability,1,1,1,1,4,no,no,no,no,YES,YES,YES,YES,YES,no,"concept/prototype, barriers highlighted",Domain mismatch in augmentation reduces performance; manual quality check of augmented data required; parsing rules may need adaptation for new document types
84,Empirical Evaluation of ChatGPT on Requirements Information Retrieval Under Zero-Shot Setting,,2023,Scopus,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85184991119&doi=10.1109%2fICNGN59831.2023.10396810&partnerID=40&md5=f2576db24af0385b5cf88b5aa37096a6,,,,,,,,,YES,F,1,1,,,,"General domain (software requirements, app reviews, app descriptions, user stories)",Zero-shot requirements retrieval,GPT-3.5-turbo,NO,0,Standalone,Zero-shot,ZS,Instruction,,no,no,"PROMISE NFR, App review NFR, Smarthome Crowd Requirements, App Descriptions (Wu et al. 2021)",Yes,"Precision, Recall, F1/Fβ",Controlled experiment (empirical evaluation on benchmark datasets),Functional suitability，Reliability,1,1,1,1,4,no,no,no,YES,no,no,no,YES,YES,no,concept,Limited number of tasks and datasets; prompt sensitivity; non-determinism of LLM outputs
85,Investigating ChatGPT’s Potential to Assist in Requirements Elicitation Processes,,2023,IEEE Xplore,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10371698,,,,,,,,,YES,F,1,,,,,"Trustworthy AI systems (general domain, not system-specific)",Requirements generation for Trustworthy AI qualities. Requirements comparison between human-generated and AI-generated artifacts.,GPT-3.5,No,-,Standalone,Zero-shot,ZS,Instruction-based,YES,no,no,Supplementary material (ChatGPT responses); interview data (not public),yes,"Expert human evaluation (7 requirements quality attributes: Abstraction, Atomicity, Consistency, Correctness, Unambiguity, Understandability, Feasibility)","Controlled experiment (comparison of ChatGPT vs. human expert responses, evaluated by independent RE experts)","Functional Suitability, Understandability.",1,1,1,0.5,3.5,Bias,Ethical concerns,Privacy,Explainability,No,No,Hallucinations,No,No,No,concept/proof-of-concept; not in production,Generalizability to other domains; construct validity (definitions not provided to participants); averaging of expert scores may minimize variation; one-shot prompt design may limit interaction
86,Exploring the Potential Use of Generative AI in Software Engineering Education,,2024,IEEE Xplore,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10740416,,,,,,,,,YES,F,1,1,,,,,"equirements elicitation and refinement for game development.
Generating diagrams (class, sequence).
Debugging and test case creation.","GPT-3.5, GPT-4",No,,,,ZS,instruction-based,YES,,,,,,,"Functional Suitability, Flexibility, Interaction Capability",1,1,1,1,4,Bias,Ethical concerns,Privacy,Explainability,Computational cost,No,Hallucinations,No,Controllability,Authorship,,
87,ChatGPT Chats Decoded: Uncovering Prompt Patterns for Superior Solutions in Software Development Lifecycle,,2024,IEEE Xplore,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10555800,,,,,,,,,YES,F,1,1,,1,,,Requirements elicitation with tailored questions.Error identification in generated requirements.Contextual refinement of outputs for better validation.,"ChatGPT, Code-Llama, and Mistral-7B",No,"General software development lifecycle (including requirements engineering, design, development, quality assurance, maintenance, management)",Standalone,"Manual and LLM-assisted prompt pattern classification, peer LLM review for response quality",-,instruction-based,YES,no,no,DevGPT,no,"Code quality (Cyclomatic Complexity, Maximum Levels, Number of Paths, Unconditional Jumps, Comment Frequency, Program Length, Average Size, Number of Inputs/Outputs), Manual static analysis, Percentage-based scoring","Manual analysis, LLM-based peer review, clustering, and categorization","Functional Suitability, Interaction Capability,Reliability",1,1,1,0.5,3.5,Bias,Ethical concerns,No,Explainability,Computational cost,No,Hallucinations,Reproducibility,Controllability,No,concept,ChatGPT's self-correction ability is limited; effectiveness of some prompt patterns is low; dataset is not public.
88,Exploring the Capabilities of Large Language Models for the Generation of Safety Cases: the Case of GPT-4,,2024,IEEE Xplore,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10628935,,,,,,,,,YES,F,,,,1,,,"Generating safety cases in GSN-compliant structured prose.
Validating the semantic and structural correctness of generated safety arguments.",GPT-4,No,"Safety-critical systems (energy, automotive, ML-enabled vehicle components, X-ray systems)",Standalone,"Zero-shot, few-shot (prompting with/without domain knowledge and syntax)",ZS,instruction-based,YES,no,no,"X-ray safety case (from [33]), ML-enabled Tire Noise Recognition (TNR) safety case (from [34])",no,"Structural and lexical similarity (manual rating), Cosine similarity (semantic), Reasonability (manual rating), Kendall’s Tau (inter-rater agreement)","Expert study (manual rating by graduate students and faculty, multiple rounds)","Functional Suitability,Reliability,Flexibility",1,1,1,1,4,No,Ethical concerns,Security,Explainability,Computational cost,No,Hallucinations,Reproducibility,Controllability,No,concept/prototype,Inconsistent hierarchy generation; limited to simplified GSN; lack of public datasets; human intervention still required.
89,Enhancing Legal Compliance and Regulation Analysis with Large Language Models,,2024,IEEE Xplore,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10628489,,,,,,,,,YES,F,1,,,1,,Legal compliance and regulatory analysis in food safety and GDPR (Data Processing Agreements),"Legal requirements classification: Identifying relevant provisions in regulatory texts.
Compliance assessment: Automating the evaluation of DPAs against GDPR rules.","GPT-3.5, GPT-4,","YES,",,Standalone,,ZS,instruction-based,YES,no,no,"DPA dataset, food-safety regulations, FSRG, US FDA regulations",no,"Accuracy, Precision, Recall, F-score","Controlled experiment (multiple experiments, boxplots, comparison with baselines)","Functional Suitability, Performance Efficiency, Flexibility",1,1,1,1,4,Bias,Ethical concerns,Privacy,Explainability,Computational cost,No,Hallucinations,Reproducibility,Controllability,No,concept/prototype,Limited dataset size for some concepts; future work needed for expert validation and broader regulatory coverage
90,Building Device Models Using LLMs for Requirements Simulation in Smart Homes,,2024,IEEE Xplore,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10628634,,,,,,,,,YES,F,1,1,,,,smart home (IoT) devices,"Device behavior extraction.
Generating Mealy machines for requirements simulation.
Simulation-based requirements validation.",GPT-4,No,,Standalone (with iterative feedback loop and external model checker),"ReAct paradigm, multi-turn dialogue, iterative self-correction with external feedback",ZS,instruction-based,YES,no,no,no,no,"requirements simulation usability (scenario-based), model validity (clarity, determinism, connectivity, resettable)","Case study (multiple smart home devices, scenario simulation)","Functional Suitability,Maintainability,Flexibility",1,1,1,1,4,Bias,No,No,Explainability,Computational cost,No,Hallucinations,Reproducibility,Controllability,No,"concept/prototype, barriers highlighted (e.g., context window, semantic validation)",Semantic-level validation not addressed; only syntax-level model checks; context window limits for long manuals
91,Using GPT-4 Turbo to Automatically Identify Defeaters in Assurance Cases,,2024,IEEE Xplore,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10628633,,,,,,,,,YES,F,1,,,1,,"Assurance cases in safety-critical domains (nuclear, aviation)","Defeater generation for assurance cases.
Context-aware validation of safety-critical claims.",GPT-4 Turbo.,No,"YES, mentions reproducible outputs with a fixed seed, but no specific temperature values were provided.",Standalone,"Chain-of-thought prompting, predicate-based rules","ZS,OS",instruction-based,YES,no,no,"CERN LHC Machine Protection System assurance case fragments, Air Traffic Control System assurance case fragment",no,"Fuzzy string similarity, BLEU score, Cosine semantic similarity, Human reasonability rating, Cohen’s Kappa",Controlled experiment with human expert assessment,Functional Suitability Reliability Interaction Capability,1,1,1,1,4,No,Ethical concerns,Security,Explainability,Computational cost,No,Hallucinations,Reproducibility,Controllability,No,"concept/prototype, barriers highlighted","Small, domain-unbalanced dataset; possible overlap with LLM training data; manual data translation risk"
92,Cartoon Extraction Mechanism via UML Model Based on Natural Language Requirement Specs,,2023,IEEE Xplore,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10590006,,,,,,,,,YES,F,,1,1,,,Cartoon/image generation from natural language requirements in software engineering context,"Requirement formalization using UML diagrams.
Mapping UML models to visual cartoon elements for further generative applications.",Not Applicable,,,Standalone (conceptual mechanism),"Linguistic analysis, semantic role labeling, UML mapping",-,Not Applicable,No,no,no,no,no,,"Conceptual/method proposal, no empirical evaluation",Functional Suitability Interaction Capability Flexibility,1,1,1,0.5,3.5,No,No,No,Explainability,Computational cost,No,No,No,Controllability,No,concept,No empirical validation; method is conceptual and requires further research for automation and practical deployment.
93,Development of a GenAI-Powered Hypertension Management Assistant: Early Development Phases and Architectural Design,,2024,IEEE Xplore,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10628598,,,,,,,,,YES,F,1,,,1,,Healthcare (hypertension management via remote patient monitoring),"Generating personalized patient communication.
Creating clinical summaries for hypertension management workflows.",GPT-4,YES,,"Hybrid (microservice architecture with EHR, SMS, and GenAI integration)","few-shot, prompt-based personalization, human-in-the-loop validation, rule-based filtering, adversarial debiasing, RLHF","FS,ZS",instruction-based,,RPM AI Assistant,no,"10 hypothetical patient scenarios (non-PHI), internal patient/provider feedback",no,"accuracy, empathy (human evaluation), readability (human evaluation), provider satisfaction (survey)","expert study (provider and patient advisory committees, surveys, qualitative feedback)",Functional Suitability Reliability Security,1,1,1,1,4,Bias,Ethical concerns,Privacy,Explainability,Computational cost,No,Hallucinations,Reproducibility,Controllability,No,"pilot (MVP, not yet in production)","Limited to MVP, small-scale evaluation, no real patient data, future work needed for broader deployment and generalizability"
94,AI-Driven User Story Generation,,2024,IEEE Xplore,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10467677,,,,,,,,,YES,F,1,,,,,"General domain (agile software development, user story generation)","Generating user stories based on templates.
Evaluating user story coherence and semantic relevance using BLEU, ROUGE-N, and BERTScore.",GPT-3,YES,,Standalone,fine-tuning,FS,instruction-based,YES,no,no,Dalpiaz et al. user story corpora (22 corpora),"partial (some corpora not public, but main set used is public)","BLEU, ROUGE-N, BERTScore",Quantitative experiment (automatic comparison to reference user stories),Functional Suitability  Reliability Flexibility,1,1,1,1,4,Bias,No,No,Explainability,Computational cost,No,Hallucinations,Reproducibility,Controllability,No,concept/prototype,Need for real-world validation with practitioners; optimal N-gram size and corpus adaptation not fully explored
95,Requirements Satisfiability with In-Context Learning,,2024,IEEE Xplore,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10628468,,,,,,,,,YES,F,,,,1,,Legal compliance for mobile applications (GDPR consent requirements),,"GPT-3.5-turbo, GPT-4",NO,0.7 top1.0,Standalone,,ZS FS COT,Instruction,,no,no,Synthetic dataset of mobile app scenarios and design practices (based on GDPR consent requirements),yes,accuracy,"Controlled experiment (using synthetic and annotated datasets, inter-rater agreement)",Functional Suitability， Reliability,1,1,1,1,4,no,YES,no,YES,YES,YES,YES,YES,YES,no,concept/prototype,Synthetic data may not represent real practices; alignment tax in LLMs; limited authoritative ground truth; domain-specific limitations
